property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,לינקולן,לינקולן 5,1.0,3,28,0,0.0,12,100,100,4,"להשכרה ברחוב לינקולן 5 ת""א ,רכבת קלה במרחק הליכה כניסה מיידת דירת חדר קומה 3 עם מעלית הדירה מרוהטת קומפלט רק להכנס עם מזוודה (מכונת כביסה +מקרר+מזגן+ספה נפתחת למיטה +טלויזיה +כריים חשמליים+מיקרו +טוסטר+2 שולחנות +מדפים +ארון מקיר לקיר עם מראה ) שכר דירה 4150 ש""ח תשלומים חודש ארנונה ועד חשמל ומים 450 דירה ליחדים בעלי חיים באהבה מתחת לבניין סופר יודה, בית קפה(""התחתית""), מכבסה, פסטה מיה צמוד לקניון TLV,בוגרשוב, הארבעה",0,0,0,0,0,0,0,0,0,0,4600.0,7,2252
סטודיו/לופט,לינקולן,כורש 9,1.0,4,25,0,0.0,12,90,0,4,"דירת סטודיו במקום הכי טוב בתל אביב רח' המלך כורש , רחוב מקביל לרוטשילד קרוב לשינקין קרוב לקניון TLV גינת ספר, אזור שקט ומרכזי בדירה כל הציוד מקרר, כיריים, מזגן, טלוויזיה, מיטה, ועוד שכד 3,200 ₪ , ארנונה כ180 לחודשיים, חשמל ומים לפי צריכה. כניסה ממרץ. Studio apartment in the best Location in Tel Aviv, Hamelech Koresh St., a street parallel to Rothschild, close to Shnkin, close to the TLV mall, a quiet and central area in the apartment, equipment with refrigerator, stove, air conditioner, TV, bed, and more Rent 3,200 NIS, property tax about 180 for two months, electricity and water according to consumption. Entry from March",0,0,0,1,0,0,0,0,1,0,3200.0,7,2417
דירה,לינקולן,מאזה 75,4.0,3,120,0,0.0,12,400,50,3,"2 שותפות מקסימום ושקטות מחפשות 2 שותפים/ות לדירה ברחוב מזאה, קומה 3. (יש שיפוצים בבניין שאמור להסתיים בנובמבר). מראים את הדירה מחר יום ד׳ (24.8.22) בין 17:30-19:00 2600 ש""ח לחודש כניסה מיידי.",0,1,0,1,0,0,0,1,0,0,2600.0,9,2365
דירה,לינקולן,דרך מנחם בגין  33,4.0,11,98,0,0.0,12,1500,1200,20,רחוב: דרך מנחם בגין במגדל בצעירים דירת 4 חד מדהימה פנורמית לעיר ולים 98+ מרפסת 12 מטר. משוקעת איכותית מטבח עם מוצרי חשמל 2 חד רחצה חניה כניסה מיידית,1,1,1,1,0,0,1,1,0,0,11500.0,6,2253
דירה,לינקולן,וילסון 9,3.0,2,90,0,,12,730,100,4,"דירה תל אביבית שמורה חזית למזרח מאורת סלון גדול מאוד עם מטבח פתוח , חדר שינה אחד גדול ועוד חדר ילדים בנוני, יש חצי חדר בנוי בסלון ועדיין הסלון מאוד גדול . יש אפשרות לרכוש מוצרים חשמליים ורהיטים כחדשים מהשוכר היוצא.",0,0,0,1,0,0,0,0,0,0,10000.0,0,2299
דירה,חוף הצוק,יוניצמן 21,1.0,3,32,0,,12,175,800,7,"מלון מנדרין חוף הצוק ת""א, דירת סטודיו מוארת ומשופצת אדריכלית + מרפסת שמש ונוף מלא לים. בבניין בריכת שחיה חצי אולימפית, סאונה, בתי קולנוע ובתי קפה, חניה. ריהוט חלקי: מקרר/מיני בר/כיריים חשמליות וארונות",1,1,1,1,1,0,0,1,1,0,4100.0,4,10324
דירה,חוף הצוק,מיכאל נאמן 18,4.5,10,178,0,,3,0,1800,11,"שנכנסים לדירה רואים מלא ים כחול מכל החדרים. יש חלון פנורמי על הים מחדר השינה. נמצאת במתחם מטופח ומצוחצח, עם בריכת שחיה אולימפית, וחדר כושר משודרג. לובי מפואר",1,1,1,1,1,0,0,1,0,1,13900.0,10,9318
דירת גן,חוף הצוק,יוניצ'מן 1,3.0,1,135,120,0.0,12,1200,2500,10,"להשכרה בבלעדיות דירת גן בפרויקט בלו תל אביב 3 חדרים+ ממד חדר ארונות +גינה+ בריכה פרטית כ135 מר+ 120 מר גינה מחיר מבוקש : 19,500 שח אחזקה : 2,500 שח 2 חניות ומחסן בפרויקט :בריכה ,חדר כושר,חניה, ספא, מגרש טניס ושומר 24/7",1,0,1,1,0,0,0,0,1,0,19500.0,1,9907
דירה,חוף הצוק,יוניצ'מן 4,4.5,3,123,12,0.0,12,2000,2000,13,דירת 4.5 חד עם מטבח מאובזר מלא!,1,1,1,1,1,0,1,1,0,1,11500.0,1,10598
דירה,חוף הצוק,יוניצמן,3.5,2,125,0,0.0,12,0,0,11,להשכרה במגדלי בלו דירת 3.5 חדרים מאובזרת 125 פלוס מרפסת מערבית פנוי מ15.7 כולל חניות ומחסן בבנין חדר כושר שומר ברכה מחיר לסגירה 12500₪ לא כולל הוצאות,1,1,1,1,1,1,1,1,1,1,12500.0,2,9866
